SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_MAT_200;LIVELLI_WLE_MAT;peso_studente;peso_classe;peso_scuola;ESCS_studente
923;856;7413;1;10;2;9;4;1;1;1;1;1;6;7;8;8;2;19;5;229,2234856;4;33,121875;2,45;13,51913265;-0,459149797
923;856;7414;1;10;1;5;4;1;1;1;1;1;7;7;8;8;2;19;5;239,3539391;5;33,121875;2,45;13,51913265;0,94610427
923;856;7415;1;10;1;7;4;1;1;1;1;1;5;6;4;5;2;19;5;206,4922634;3;33,121875;2,45;13,51913265;0,182729219
923;856;9145;1;10;1;9;4;1;1;1;1;1;7;8;7;7;2;19;5;210,1875604;3;33,121875;2,45;13,51913265;0,79149642
923;856;9146;1;10;1;4;5;1;1;1;1;1;6;6;4;6;2;19;5;177,0687035;2;33,121875;2,45;13,51913265;1,449383386
923;856;9453;1;10;2;10;4;1;1;1;1;1;8;8;9;9;2;19;5;275,3521404;5;33,121875;2,45;13,51913265;0,206754961
923;856;9454;1;10;1;12;4;1;1;1;1;1;7;7;6;7;2;19;5;278,3479215;5;33,121875;2,45;13,51913265;0,82739457
923;856;10170;1;10;2;8;4;1;1;1;1;1;6;6;4;6;2;19;5;201,7350856;3;33,121875;2,45;13,51913265;-0,148155389
923;856;13315;1;10;1;9;4;1;1;1;1;1;6;7;5;6;2;19;5;205,9592428;3;33,121875;2,45;13,51913265;1,276988878
923;856;17773;1;10;1;12;4;2;1;1;1;1;7;8;9;9;2;19;5;294,54806;5;33,121875;2,45;13,51913265;2,577882739
923;857;1733;1;10;1;4;4;1;1;1;1;1;7;8;8;7;2;19;5;218,6094971;4;33,121875;2,45;13,51913265;0,63484337
