SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_ITA_200;LIVELLI_WLE_ITA;peso_studente;peso_classe;peso_scuola;ESCS_studente
923;856;3454;1;10;1;10;4;1;1;1;1;1;7;7;7;7;2;19;5;234,673495748059;4;33,121875;2,45;13,5191326530612;-,128265188793996
923;856;3455;1;10;1;12;4;1;1;1;1;1;7;7;6;7;2;19;5;234,20758170905;4;33,121875;2,45;13,5191326530612;,828743777642691
923;856;3500;1;10;2;6;4;1;1;1;1;1;5;6;5;6;2;19;5;175,087246106003;2;33,121875;2,45;13,5191326530612;,37512992812119
923;856;7413;1;10;2;9;4;1;1;1;1;1;6;7;8;8;2;19;5;229,300331401482;4;33,121875;2,45;13,5191326530612;-,459149797004105
923;856;7414;1;10;1;5;4;1;1;1;1;1;7;7;8;8;2;19;5;193,208078380375;3;33,121875;2,45;13,5191326530612;,946104269721188
923;856;7415;1;10;1;7;4;1;1;1;1;1;5;6;4;5;2;19;5;172,253791372744;2;33,121875;2,45;13,5191326530612;,182729219360907
923;856;9145;1;10;1;9;4;1;1;1;1;1;7;8;7;7;2;19;5;234,579342945372;4;33,121875;2,45;13,5191326530612;,791496419622379
923;856;9146;1;10;1;4;5;1;1;1;1;1;6;6;4;6;2;19;5;190,83024489265;3;33,121875;2,45;13,5191326530612;1,4493833861789
923;856;9453;1;10;2;10;4;1;1;1;1;1;8;8;9;9;2;19;5;272,778681738525;5;33,121875;2,45;13,5191326530612;,206754961332884
923;856;9454;1;10;1;12;4;1;1;1;1;1;7;7;6;7;2;19;5;240,275870607569;4;33,121875;2,45;13,5191326530612;,827394569869098
923;856;10170;1;10;2;8;4;1;1;1;1;1;6;6;4;6;2;19;5;196,067674509966;3;33,121875;2,45;13,5191326530612;-,148155388849202
923;856;13315;1;10;1;9;4;1;1;1;1;1;6;7;5;6;2;19;5;204,061295129521;3;33,121875;2,45;13,5191326530612;1,2769888779313
923;856;17773;1;10;1;12;4;2;1;1;1;1;7;8;9;9;2;19;5;243,594090615587;4;33,121875;2,45;13,5191326530612;2,57788273890053
923;857;1733;1;10;1;4;4;1;1;1;1;1;7;8;8;7;2;19;5;195,596844861536;3;33,121875;2,45;13,5191326530612;,634843369539281
923;857;3808;1;10;1;5;4;1;1;1;1;1;5;7;6;6;2;19;5;212,237924805865;3;33,121875;2,45;13,5191326530612;1,2547869858648
923;857;3809;1;10;1;7;4;1;1;1;1;1;8;8;9;8;2;19;5;274,924626339876;5;33,121875;2,45;13,5191326530612;,514088469702904
923;857;4831;1;10;1;5;4;1;1;1;1;1;5;7;7;7;2;19;5;205,415339233569;3;33,121875;2,45;13,5191326530612;,165150711316993
923;857;4832;1;10;2;1;5;1;1;1;1;4;8;8;9;8;2;19;5;292,917355770958;5;33,121875;2,45;13,5191326530612;1,25709867787609
923;857;4833;1;10;2;4;5;1;1;3;2;4;7;8;5;7;2;19;5;221,941662938659;4;33,121875;2,45;13,5191326530612;-,30045154693672
923;857;8689;1;10;1;7;4;1;1;1;1;1;6;8;7;7;2;19;5;200,846443951805;3;33,121875;2,45;13,5191326530612;,632531677527991
923;857;8690;1;10;1;10;4;1;1;1;1;1;7;7;6;6;2;19;5;200,846443951805;3;33,121875;2,45;13,5191326530612;-1,06124841325871
923;857;9452;1;10;2;5;4;1;1;1;1;2;7;8;7;7;2;19;5;222,235045971334;4;33,121875;2,45;13,5191326530612;,635109861566284
923;857;10008;1;10;1;8;4;1;1;1;1;1;7;8;6;7;2;19;5;245,162434749171;4;33,121875;2,45;13,5191326530612;-,4392595969489
923;857;10874;1;10;2;12;4;1;1;1;2;1;8;8;6;8;2;19;5;219,421017145444;4;33,121875;2,45;13,5191326530612;1,138388978024
923;857;11567;1;10;1;5;4;1;1;1;1;1;8;8;8;8;2;19;5;202,644177540597;3;33,121875;2,45;13,5191326530612;,321537269373087
923;857;12237;1;10;2;4;5;1;1;1;1;1;6;6;4;6;2;19;5;196,559273652833;3;33,121875;2,45;13,5191326530612;,044129319453612
923;857;12238;1;10;2;4;5;1;1;1;1;1;5;7;5;6;2;19;5;212,237924805865;3;33,121875;2,45;13,5191326530612;-,128265188793996
923;857;14704;1;10;2;6;4;1;1;1;1;1;8;8;8;8;2;19;5;287,746989364097;5;33,121875;2,45;13,5191326530612;-,0971409141393923
923;857;14705;1;10;2;8;4;1;1;1;1;1;6;8;8;8;2;19;5;212,700480795852;3;33,121875;2,45;13,5191326530612;-,4392595969489
923;857;14706;1;10;2;5;4;1;1;1;1;1;4;3;3;4;2;19;5;186,413036868551;3;33,121875;2,45;13,5191326530612;,182729219360907
732;470;440;3;10;2;12;4;1;1;1;1;1;0;7;0;8;3;11;3;181,450899067865;2;22,3383838383838;4,75757575757576;4,69532908704883; 
732;470;932;3;10;2;10;4;1;1;1;1;1;0;6;0;6;3;11;3;200,617753238926;3;22,3383838383838;4,75757575757576;4,69532908704883;-,611445955091623
732;470;2573;3;10;1;9;4;1;1;1;1;1;0;7;0;7;3;11;3;253,412574889132;5;22,3383838383838;4,75757575757576;4,69532908704883;-,750254005103803
732;470;4904;3;10;1;9;4;1;1;1;1;2;0;6;0;4;3;11;3;190,031419312468;3;22,3383838383838;4,75757575757576;4,69532908704883;,632798169554993
732;470;5552;3;10;1;10;4;1;1;1;1;1;0;6;0;5;3;11;3;166,191391423628;2;22,3383838383838;4,75757575757576;4,69532908704883;-,887504697237505
732;470;5853;3;10;2;9;4;1;1;1;1;1;0;6;0;5;3;11;3;191,971316025835;3;22,3383838383838;4,75757575757576;4,69532908704883;-,887504697237505
732;470;6434;3;10;2;9;4;1;1;1;1;1;0;6;0;6;3;11;3;141,178505383988;1;22,3383838383838;4,75757575757576;4,69532908704883;,652688369610199
732;470;6584;3;10;1;2;4;1;1;1;1;3;0;5;0;4;3;11;3;205,609560589261;3;22,3383838383838;4,75757575757576;4,69532908704883;-1,0301241386041
732;470;8364;3;10;2;11;4;1;1;3;3;4;0;8;0;9;3;11;3;214,072819866665;3;22,3383838383838;4,75757575757576;4,69532908704883;-,0971409141393923
732;470;8365;3;10;2;11;4;1;1;1;1;1;0;7;0;9;3;11;3;195,596844861536;3;22,3383838383838;4,75757575757576;4,69532908704883;,0306995533003918
732;470;8953;3;10;1;1;5;1;1;1;1;1;0;6;0;5;3;11;3;215,845783025904;4;22,3383838383838;4,75757575757576;4,69532908704883;,686124336276094
732;470;8954;3;10;1;9;4;2;1;2;2;2;0;6;0;7;3;11;3;199,555628206827;3;22,3383838383838;4,75757575757576;4,69532908704883;,213853494015511
