SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;grado;genere;mese;anno;luogo;regolarità;origine;eta;codice_orario;freq_asilo_nido;freq_scuola_materna;luogo_padre;titolo_padre;prof_padre;luogo_madre;titolo_madre;prof_madre;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;B1;B2;pu_it_gr;pu_it_perc;part_1_gr;part_1_perc;part_2_gr;part_2_perc;WLE_ITA_200;peso_studente;peso_classe;peso_scuola;Cod_Reg;Areageo_5
2;3;16262;2;1;9;4;1;1;1;77;3;2;1;1;4;6;1;99;6;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;6;37,5;6;42,8571428571429;0;0;137,347269234437;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16259;2;2;2;4;1;1;1;77;3;2;1;1;4;8;1;2;8;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;8;50;8;57,1428571428571;0;0;157,772625042692;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16282;2;2;7;4;1;1;3;77;3;2;1;4;2;8;4;4;2;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;10;62,5;9;64,2857142857143;1;50;178,289782278311;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16268;2;1;6;4;1;1;3;77;3;1;1;2;4;8;2;2;8;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;10;62,5;9;64,2857142857143;1;50;178,289782278311;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16273;2;1;2;4;1;1;1;77;3;2;1;1;2;8;1;4;7;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;12;75;10;71,4285714285714;2;100;201,252987619882;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16278;2;2;9;4;1;1;1;77;3;2;1;1;4;5;1;99;7;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;12;75;11;78,5714285714286;1;50;201,252987619882;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16252;2;2;1;4;1;1;1;77;3;2;1;1;2;6;1;2;99;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;12;75;11;78,5714285714286;1;50;201,252987619882;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16258;2;1;10;4;1;1;1;77;3;2;1;1;4;7;1;4;7;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;13;81,25;11;78,5714285714286;2;100;214,868940087507;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16267;2;1;10;4;1;1;1;77;3;1;1;1;2;8;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;13;81,25;12;85,7142857142857;1;50;214,868940087507;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16272;2;1;5;4;1;1;1;77;3;1;1;1;4;5;1;8;7;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;13;81,25;12;85,7142857142857;1;50;214,868940087507;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16254;2;2;6;4;1;1;1;77;3;2;1;1;4;6;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;14;87,5;13;92,8571428571429;1;50;231,394502284238;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16263;2;1;4;4;1;1;1;77;3;1;1;1;4;8;1;8;7;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;14;87,5;13;92,8571428571429;1;50;231,394502284238;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16270;2;2;1;4;1;1;1;77;3;1;1;1;4;7;1;8;6;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;15;93,75;13;92,8571428571429;2;100;254,059981399511;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16255;2;2;9;4;1;1;1;77;3;1;1;1;2;4;1;3;99;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;15;93,75;13;92,8571428571429;2;100;254,059981399511;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16266;2;2;10;4;1;1;1;77;3;1;1;1;2;8;1;2;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;14;100;2;100;297,848914475126;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16264;2;1;8;4;1;1;1;77;3;2;1;1;2;6;1;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;3;18,75;2;14,2857142857143;1;50;101,052155793298;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16265;2;2;9;4;1;1;1;77;3;2;1;1;2;8;4;7;2;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;4;25;4;28,5714285714286;0;0;114,59039593795;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16280;2;2;9;4;1;1;1;77;3;2;1;1;4;8;1;8;8;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;5;31,25;4;28,5714285714286;1;50;126,460773606209;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16281;2;2;11;4;4;1;2;99;3;2;1;4;2;8;4;4;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;6;37,5;6;42,8571428571429;0;0;137,347269234437;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16256;2;2;10;4;1;1;1;77;3;2;1;4;99;8;1;2;2;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;7;43,75;7;50;0;0;147,679498802865;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16269;2;1;11;4;1;1;1;77;3;1;1;1;4;5;1;4;8;1;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0;9;56,25;9;64,2857142857143;0;0;167,888403391202;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16275;2;1;5;4;1;1;1;77;3;2;1;1;8;6;1;7;6;1;1;1;0;0;0;0;1;0;1;1;1;1;0;1;0;9;56,25;8;57,1428571428571;1;50;167,888403391202;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16279;2;1;3;4;1;1;3;77;3;2;1;4;2;8;4;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;9;56,25;9;64,2857142857143;0;0;167,888403391202;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16257;2;2;9;4;1;1;1;77;3;2;1;1;2;8;1;2;2;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;1;10;62,5;9;64,2857142857143;1;50;178,289782278311;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16271;2;2;1;5;1;1;1;77;3;1;1;1;4;8;1;8;7;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;11;68,75;11;78,5714285714286;0;0;189,276121735284;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16274;2;1;12;4;1;1;1;77;3;1;1;1;4;5;1;99;7;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;12;75;10;71,4285714285714;2;100;201,252987619882;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16260;2;2;12;4;1;1;1;77;3;1;1;1;3;8;1;7;7;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;12;75;11;78,5714285714286;1;50;201,252987619882;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16276;2;1;9;4;4;1;2;99;3;2;1;4;2;8;4;8;2;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;12;75;11;78,5714285714286;1;50;201,252987619882;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16277;2;2;4;4;1;1;1;77;3;2;1;4;6;1;1;6;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;14;87,5;14;100;0;0;231,394502284238;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16253;2;1;1;4;1;1;3;77;3;2;1;2;8;1;2;8;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;15;93,75;14;100;1;50;254,059981399511;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;4;16261;2;2;8;4;1;1;1;77;3;1;1;1;2;99;1;4;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;14;100;2;100;297,848914475126;2,64485928726867;2,19354838709677;1,20574467507836;1;1
3;5;8733;2;1;7;4;1;1;1;77;4;2;1;1;3;5;1;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61,7831298753688;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;9894;2;1;7;4;1;1;1;77;4;2;1;1;4;7;1;4;7;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;5;31,25;5;35,7142857142857;0;0;126,460773606209;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;7962;2;2;12;4;1;1;1;77;4;1;1;1;4;8;1;4;6;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;7;43,75;6;42,8571428571429;1;50;147,679498802865;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;8732;2;2;11;4;1;1;1;77;4;1;1;1;8;7;9;8;7;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;8;50;8;57,1428571428571;0;0;169,249074399887;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;5105;2;1;10;4;1;1;1;77;4;2;1;1;4;7;4;5;7;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;13;81,25;12;85,7142857142857;1;50;174,384089313908;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;9887;2;2;8;4;1;1;1;77;4;2;1;1;2;8;1;8;5;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;8;50;7;50;1;50;179,500962926581;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;10550;2;1;3;4;1;1;1;77;4;1;1;1;2;8;1;2;7;1;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;8;50;7;50;1;50;179,500962926581;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;10557;2;1;1;5;1;1;1;77;4;1;1;1;8;4;1;7;5;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;11;68,75;9;64,2857142857143;2;100;189,276121735284;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;3511;2;2;6;4;1;1;1;77;4;1;1;1;4;7;1;7;7;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;11;68,75;10;71,4285714285714;1;50;189,276121735284;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;7302;2;1;2;5;1;1;1;77;4;1;1;1;3;5;1;3;6;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;8;50;8;57,1428571428571;0;0;200,439493936962;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;10556;2;2;8;4;1;1;1;77;4;1;1;1;3;7;1;8;5;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;12;75;10;71,4285714285714;2;100;201,252987619882;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;11128;2;2;11;4;1;1;1;77;4;1;2;1;4;7;1;11;6;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;13;81,25;11;78,5714285714286;2;100;205,971402302093;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;1522;2;2;1;4;1;1;1;77;4;2;1;1;4;4;1;2;4;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;13;81,25;11;78,5714285714286;2;100;214,868940087507;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;3250;2;2;10;4;1;1;1;77;4;2;1;1;4;4;4;5;7;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;13;81,25;11;78,5714285714286;2;100;217,733747352512;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;7125;2;1;8;4;1;1;1;77;4;1;1;1;8;5;2;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;15;93,75;14;100;1;50;217,733747352512;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;7293;2;2;5;4;1;1;1;77;4;2;1;1;8;3;1;8;6;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;13;81,25;12;85,7142857142857;1;50;217,733747352512;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;2030;2;1;1;4;1;1;1;77;4;1;1;1;4;6;1;8;5;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;14;87,5;13;92,8571428571429;1;50;231,394502284238;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;10551;2;1;3;4;1;1;1;77;4;1;1;4;7;8;1;9;8;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;14;87,5;13;92,8571428571429;1;50;231,394502284238;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;7124;2;1;8;4;1;1;1;77;4;2;1;1;4;7;1;4;7;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;13;81,25;12;85,7142857142857;1;50;238,42487764023;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;920;2;2;3;4;1;1;1;77;4;2;1;1;10;5;1;10;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;14;100;2;100;297,848914475126;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;5117;2;1;7;4;1;1;1;77;4;2;1;1;4;6;1;4;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;15;93,75;14;100;1;50;254,059981399511;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;13389;2;1;7;4;1;1;1;77;4;2;1;1;2;6;1;8;5;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;15;93,75;13;92,8571428571429;2;100;254,059981399511;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;12790;2;1;7;4;3;1;1;99;4;2;1;1;4;8;3;99;99;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;15;93,75;13;92,8571428571429;2;100;254,059981399511;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;8753;2;1;2;4;1;1;1;77;4;2;1;1;4;5;1;7;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;14;100;2;100;297,848914475126;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;5;3551;2;1;9;4;1;1;1;77;4;1;1;1;9;5;1;5;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;14;100;2;100;297,848914475126;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;8692;2;2;4;4;1;1;1;77;4;1;1;1;4;6;1;4;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;14;100;2;100;297,848914475126;24,6090041074973;,980769230769231;25,0915335998012;2;1
