SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,Grado,genere,anno,mese,luogo,eta,regolarità,origine,freq_asilo_nido,freq_scuola_materna,luogo_padre,titolo_padre,prof_padre,luogo_madre,titolo_madre,prof_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ITA_200,LIVELLI_WLE_ITA,peso_studente,peso_classe,peso_scuola,ESCS_classe,ESCS_studente
1026,110,2106,8,1,3,12,1,88,1,3,1,1,4,2,8,4,2,1,6,6,7,7,6,6,4,11,3,200.830549460352,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-1.11808288532404
1026,110,2111,8,1,2,10,1,88,3,1,2,1,1,2,9,1,2,2,8,8,8,8,7,7,4,11,3,133.972325842708,1,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365, 
1026,110,2114,8,2,3,11,1,88,1,1,2,1,1,4,99,1,4,99,8,8,8,8,7,7,4,11,3,217.770457921662,4,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.605180921787631
1026,110,2115,8,2,3,8,1,88,1,1,2,1,1,4,7,1,4,7,8,8,9,9,8,8,4,11,3,210.013605719334,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.224923066199495
1026,110,2116,8,2,3,8,1,88,1,1,1,1,1,9,5,1,9,5,9,9,9,9,9,9,4,11,3,274.757236417311,5,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,1.22463177075372
1026,110,2118,8,2,3,6,1,88,1,1,1,1,1,4,5,1,9,5,7,7,8,8,7,7,4,11,3,215.48914782235,4,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,.403624001347123
1026,110,2122,8,2,3,2,1,88,1,1,2,1,3,2,7,1,4,7,8,8,9,9,8,8,4,11,3,254.193742926772,5,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.539871293898197
1026,110,2127,8,2,3,2,1,88,1,1,2,1,1,4,7,3,4,7,8,8,7,7,7,7,4,11,3,208.05360215879,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,.469573378093093
1026,110,2128,8,2,3,5,1,88,1,3,9,1,3,3,8,3,4,1,6,6,7,7,7,7,4,11,3,128.171023165298,1,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365, 
1026,110,2129,8,1,3,10,1,88,1,1,2,1,1,2,8,3,3,2,6,6,6,6,6,6,4,11,3,168.556417885604,2,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-1.11808288532404
1026,110,2130,8,1,3,7,1,88,1,1,1,1,1,4,1,1,9,7,6,6,5,5,7,7,4,11,3,201.983178523191,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,1.05715184352387
1026,110,2131,8,2,3,11,1,88,1,1,2,1,1,4,8,1,4,2,8,8,8,8,9,9,4,11,3,234.562126743377,4,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.920129149486334
1026,110,2132,8,1,3,11,1,88,1,1,1,1,1,7,7,1,4,2,6,6,7,7,7,7,4,11,3,176.543810688997,2,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,1.42171276742206
1026,110,2133,8,1,3,3,1,88,1,1,2,1,1,2,8,1,4,8,8,8,8,8,9,9,4,11,3,240.914097848765,4,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,.22677720011234
1026,110,2134,8,1,3,7,1,88,1,1,2,1,1,4,8,1,4,8,8,8,9,9,9,9,4,11,3,246.212899191701,5,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.920129149486334
1026,110,2135,8,1,3,1,1,88,1,1,1,1,1,4,5,1,4,2,8,8,9,9,8,8,4,11,3,212.377384947866,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.403119255285064
1026,110,2136,8,1,3,10,1,88,1,1,1,1,1,4,7,1,9,7,8,8,9,9,9,9,4,11,3,233.350991851138,4,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,.0757606487247996
1026,110,2137,8,1,3,5,1,88,1,1,1,1,1,4,7,1,4,7,8,8,9,9,8,8,4,11,3,245.262317881628,5,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.416034380208685
1026,110,2138,8,1,3,2,1,88,1,1,2,1,9,99,99,1,9,5,8,8,8,8,9,9,4,11,3,228.578242484582,4,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,.0886757736484206
1026,110,2139,8,2,3,10,1,88,1,1,2,1,1,3,8,1,4,5,6,6,8,8,8,8,4,11,3,208.839444713797,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.897099560102378
1026,110,2141,8,1,3,6,1,88,1,1,2,1,1,9,5,1,9,5,9,9,9,9,8,8,4,11,3,316.795053212248,5,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,.516510562543257
1026,110,2144,8,2,3,8,1,88,1,1,2,1,1,2,6,1,4,7,6,6,6,6,7,7,4,11,3,154.63605073351,1,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365, 
1026,110,2145,8,1,3,7,1,88,1,1,2,1,1,4,4,1,4,7,6,6,6,6,5,5,4,11,3,171.121608349969,2,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.416034380208685
1026,110,3726,8,1,3,5,2,1,1,1,1,1,2,9,5,1,9,5,7,7,6,6,8,9,4,11,3,210.293848278452,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,.732836741820232
80,15,86,8,2,2,6,1,88,3,1,1,1,1,2,8,1,2,2,0,6,0,5,0,7,1,1,1,207.662695152105,3,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,-.699848640027521
80,15,87,8,1,2,10,1,88,3,1,2,1,1,1,8,1,2,8,0,5,0,5,0,5,1,1,1,154.164923126287,1,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,-1.24799250210866
